round	fractal_type	outcome	fixation_time	fractal_time	square_time	outcome_time
1	blue	neutral	2301	5000	1500	1000
2	yellow	positive	2199	5000	1500	1000
3	blue	neutral	2810	5000	1500	1000
4	yellow	neutral	2507	5000	1500	1000
5	blue	neutral	3365	5000	1500	1000
6	blue	neutral	2159	5000	1500	1000
7	yellow	positive	3376	5000	1500	1000
8	yellow	positive	3681	5000	1500	1000
9	blue	neutral	3831	5000	1500	1000
10	blue	neutral	3177	5000	1500	1000
11	yellow	neutral	3675	5000	1500	1000
12	blue	neutral	2538	5000	1500	1000
13	yellow	positive	3614	5000	1500	1000
14	blue	neutral	3289	5000	1500	1000
15	blue	neutral	3588	5000	1500	1000
16	yellow	positive	2417	5000	1500	1000
17	yellow	positive	3980	5000	1500	1000
18	blue	neutral	3729	5000	1500	1000
19	yellow	neutral	2110	5000	1500	1000
20	blue	neutral	3702	5000	1500	1000
21	yellow	positive	3020	5000	1500	1000
22	blue	neutral	2120	5000	1500	1000
23	blue	neutral	2858	5000	1500	1000
24	yellow	positive	2090	5000	1500	1000
25	yellow	positive	3465	5000	1500	1000
26	blue	neutral	2126	5000	1500	1000
27	yellow	positive	2639	5000	1500	1000
28	blue	neutral	2575	5000	1500	1000
29	yellow	positive	2238	5000	1500	1000
30	yellow	positive	3577	5000	1500	1000
